Gas_Stations_Address,Latitude,Longitude,Pincode,Pincode( frst 3 characters),Latitiude of the nearest Fast Charger,Longitude of the nearest fast charger,Distance with the nearest fast EV charger
In der Neuwiese 1 · 56412 Goergeshausen,50.4105903,7.9477645,56412,564,50.447712,7.850348,8.04081743
Kirchstraße 23 · 40699 Erkrath,51.2208468,6.9282712,40699,406,51.215981,6.966963,2.748558826
Black-u.-Decker-straße 9 · 65510 Idstein,50.2171726,8.265894,65510,655,50.2968102,8.2538528,8.896576711
Isenburger Straße 20 · 63150 Heusenstamm,50.0588828,8.7868935,63150,631,50.055744,8.909382,8.751351698
Im Birkengrund · 63179 Obertshausen,50.0623257,8.830493,63179,631,50.055744,8.909382,5.678996509
Vogelsbitze 1 · 53604 Bad Honnef,50.6492654,7.3270661,53604,536,50.64661,7.315041,0.897795329
Frankfurter Straße 6 · 63263 Neu-Isenburg,50.0578768,8.6953919,63263,632,49.994889,8.677389,7.121015519
Rottbitzer Straße 65 · 53604 Bad Honnef,50.6501122,7.3286962,53604,536,50.64661,7.315041,1.038553353
O.-v.-Nell-Breuning 4 · 51503 Roesrath,50.9069612,7.1559587,51503,515,50.869101,7.59962,31.40445599
Frankfurter Straße 110 · 63150 Heusenstamm,50.0583545,8.7945475,63150,631,50.055744,8.909382,8.203156828
Brüsseler Straße 2 · 65552 Limburg,50.3897423,8.0993147,65552,655,50.2968102,8.2538528,15.06807332
Heusenstammer Straße 43 · 63179 Obertshausen,50.0648107,8.8379329,63179,631,50.055744,8.909382,5.199084115
Loikumer Rott 2 · 46499 Hamminkeln,51.7410005,6.593663,46499,464,51.834455,6.701539,12.76882572
Gewerbegebiet Am Dachsberg 8 · 53604 Bad Honnef,50.6519444,7.3433333,53604,536,50.64661,7.315041,2.081068469
Limburger Straße 108 · 65611 Brechen,50.3630303,8.1598267,65611,656,50.413358,8.035598,10.43484621
B 448 · 63110 Rodgau,50.0694782,8.874511,63110,631,50.055744,8.909382,2.920293506
Am Krummenweg 9 · 40885 Ratingen,51.3383205,6.8691413,40885,408,51.252237,6.951764,11.16365583
Autohof Reimersheck 3 · 56424 Mogendorf,50.4822711,7.7489303,56424,564,50.447712,7.850348,8.142314197
Industriestraße 2 · 56412 Heiligenroth,50.4491075,7.8506235,56412,564,50.447712,7.850348,0.156393852
Koenigswinterer Straße 289 · 53639 Koenigswinter,50.690939,7.2767291,53639,536,50.64661,7.315041,5.620223527
Mainzer Straße 4 · 65550 Limburg-Linter,50.3703797,8.0852939,65550,655,50.2968102,8.2538528,14.49331658
Am Krummenweg 2 · 40885 Ratingen,51.3388592,6.868728,40885,408,51.252237,6.951764,11.2297889
Schmachtendorfer Straße 125 · 46147 Oberhausen,51.539519,6.8172124,46147,461,51.5019153,6.8829559,6.178553319
